student_number,school_year,sem,year_level,section,status
15-0041,2018-2019,1st Sem,,,IRREGULAR
15-0055,2018-2019,1st Sem,,,IRREGULAR
15-0065,2018-2019,1st Sem,,,REGULAR
15-0104,2018-2019,1st Sem,,,IRREGULAR
15-0105,2018-2019,1st Sem,,,IRREGULAR
15-0111,2018-2019,1st Sem,,,IRREGULAR
15-0113,2018-2019,1st Sem,,,IRREGULAR
15-0116,2018-2019,1st Sem,,,IRREGULAR
15-0121,2018-2019,1st Sem,,,IRREGULAR
15-0122,2018-2019,1st Sem,,,REGULAR
15-0123,2018-2019,1st Sem,,,REGULAR
15-0124,2018-2019,1st Sem,,,IRREGULAR
15-0125,2018-2019,1st Sem,,,REGULAR
15-0127,2018-2019,1st Sem,,,IRREGULAR
15-0129,2018-2019,1st Sem,,,IRREGULAR
15-0137,2018-2019,1st Sem,,,IRREGULAR
15-0139,2018-2019,1st Sem,,,IRREGULAR
15-0144,2018-2019,1st Sem,,,IRREGULAR
15-0151,2018-2019,1st Sem,,,IRREGULAR
15-0153,2018-2019,1st Sem,,,IRREGULAR
15-0154,2018-2019,1st Sem,,,IRREGULAR
15-0158,2018-2019,1st Sem,,,IRREGULAR
15-0173,2018-2019,1st Sem,,,REGULAR
15-0175,2018-2019,1st Sem,,,IRREGULAR
15-0177,2018-2019,1st Sem,,,IRREGULAR
15-0178,2018-2019,1st Sem,,,IRREGULAR
15-0182,2018-2019,1st Sem,,,IRREGULAR
15-0183,2018-2019,1st Sem,,,IRREGULAR
15-0188,2018-2019,1st Sem,,,REGULAR
15-0190,2018-2019,1st Sem,,,IRREGULAR
15-0193,2018-2019,1st Sem,,,REGULAR
15-0195,2018-2019,1st Sem,,,IRREGULAR
15-0196,2018-2019,1st Sem,,,IRREGULAR
15-0205,2018-2019,1st Sem,,,IRREGULAR
15-0206,2018-2019,1st Sem,,,REGULAR
15-0207,2018-2019,1st Sem,,,IRREGULAR
15-0208,2018-2019,1st Sem,,,REGULAR
15-0210,2018-2019,1st Sem,,,IRREGULAR
15-0220,2018-2019,1st Sem,,,IRREGULAR
15-0223,2018-2019,1st Sem,,,IRREGULAR
15-0229,2018-2019,1st Sem,,,IRREGULAR
15-0230,2018-2019,1st Sem,,,IRREGULAR
15-0231,2018-2019,1st Sem,,,REGULAR
15-0232,2018-2019,1st Sem,,,IRREGULAR
15-0239,2018-2019,1st Sem,,,IRREGULAR
15-0255,2018-2019,1st Sem,,,IRREGULAR
15-0256,2018-2019,1st Sem,,,IRREGULAR
15-0260,2018-2019,1st Sem,,,REGULAR
15-0275,2018-2019,1st Sem,,,IRREGULAR
15-0280,2018-2019,1st Sem,,,IRREGULAR
15-0282,2018-2019,1st Sem,,,IRREGULAR
15-0283,2018-2019,1st Sem,,,IRREGULAR
15-0284,2018-2019,1st Sem,,,IRREGULAR
15-0296,2018-2019,1st Sem,,,REGULAR
15-0320,2018-2019,1st Sem,,,IRREGULAR
15-0334,2018-2019,1st Sem,,,IRREGULAR
15-0337,2018-2019,1st Sem,,,IRREGULAR
15-0338,2018-2019,1st Sem,,,IRREGULAR
15-0343,2018-2019,1st Sem,,,IRREGULAR
15-0365,2018-2019,1st Sem,,,IRREGULAR
15-0367,2018-2019,1st Sem,,,IRREGULAR
15-0376,2018-2019,1st Sem,,,IRREGULAR
15-0387,2018-2019,1st Sem,,,IRREGULAR
15-0388,2018-2019,1st Sem,,,IRREGULAR
15-0390,2018-2019,1st Sem,,,IRREGULAR
15-0393,2018-2019,1st Sem,,,IRREGULAR
15-0405,2018-2019,1st Sem,,,IRREGULAR
15-0408,2018-2019,1st Sem,,,IRREGULAR
15-0420,2018-2019,1st Sem,,,IRREGULAR
15-0421,2018-2019,1st Sem,,,IRREGULAR
15-0426,2018-2019,1st Sem,,,IRREGULAR
15-0429,2018-2019,1st Sem,,,IRREGULAR
15-0430,2018-2019,1st Sem,,,IRREGULAR
15-0432,2018-2019,1st Sem,,,IRREGULAR
15-0440,2018-2019,1st Sem,,,IRREGULAR
15-0444,2018-2019,1st Sem,,,IRREGULAR
15-0445,2018-2019,1st Sem,,,IRREGULAR
15-0450,2018-2019,1st Sem,,,REGULAR
15-0452,2018-2019,1st Sem,,,REGULAR
16-0001,2018-2019,1st Sem,,,IRREGULAR
16-0002,2018-2019,1st Sem,,,REGULAR
16-0020,2018-2019,1st Sem,,,IRREGULAR
16-0046,2018-2019,1st Sem,,,IRREGULAR
16-0050,2018-2019,1st Sem,,,IRREGULAR
16-0051,2018-2019,1st Sem,,,REGULAR
16-0052,2018-2019,1st Sem,,,IRREGULAR
16-0053,2018-2019,1st Sem,,,IRREGULAR
16-0060,2018-2019,1st Sem,,,IRREGULAR
16-0061,2018-2019,1st Sem,,,IRREGULAR
16-0066,2018-2019,1st Sem,,,IRREGULAR
16-0067,2018-2019,1st Sem,,,IRREGULAR
16-0068,2018-2019,1st Sem,,,IRREGULAR
16-0069,2018-2019,1st Sem,,,IRREGULAR
16-0070,2018-2019,1st Sem,,,IRREGULAR
16-0071,2018-2019,1st Sem,,,IRREGULAR
16-0073,2018-2019,1st Sem,,,IRREGULAR
16-0074,2018-2019,1st Sem,,,IRREGULAR
16-0076,2018-2019,1st Sem,,,REGULAR
16-0077,2018-2019,1st Sem,,,IRREGULAR
16-0078,2018-2019,1st Sem,,,IRREGULAR
16-0079,2018-2019,1st Sem,,,REGULAR
16-0088,2018-2019,1st Sem,,,IRREGULAR
16-0089,2018-2019,1st Sem,,,IRREGULAR
16-0091,2018-2019,1st Sem,,,IRREGULAR
16-0092,2018-2019,1st Sem,,,IRREGULAR
16-0100,2018-2019,1st Sem,,,IRREGULAR
16-0102,2018-2019,1st Sem,,,IRREGULAR
16-0104,2018-2019,1st Sem,,,IRREGULAR
16-0106,2018-2019,1st Sem,,,REGULAR
16-0114,2018-2019,1st Sem,,,IRREGULAR
16-0123,2018-2019,1st Sem,,,IRREGULAR
16-0127,2018-2019,1st Sem,,,IRREGULAR
16-0129,2018-2019,1st Sem,,,REGULAR
16-0135,2018-2019,1st Sem,,,IRREGULAR
16-0137,2018-2019,1st Sem,,,IRREGULAR
16-0139,2018-2019,1st Sem,,,IRREGULAR
16-0142,2018-2019,1st Sem,,,IRREGULAR
16-0143,2018-2019,1st Sem,,,IRREGULAR
16-0146,2018-2019,1st Sem,,,IRREGULAR
16-0147,2018-2019,1st Sem,,,IRREGULAR
17-0001,2018-2019,1st Sem,,,IRREGULAR
17-0004,2018-2019,1st Sem,,,IRREGULAR
17-0009,2018-2019,1st Sem,,,IRREGULAR
17-0011,2018-2019,1st Sem,,,IRREGULAR
17-0013,2018-2019,1st Sem,,,IRREGULAR
17-0016,2018-2019,1st Sem,,,IRREGULAR
17-0022,2018-2019,1st Sem,,,REGULAR
17-0023,2018-2019,1st Sem,,,IRREGULAR
17-0026,2018-2019,1st Sem,,,IRREGULAR
17-0029,2018-2019,1st Sem,,,IRREGULAR
17-0032,2018-2019,1st Sem,,,IRREGULAR
17-0035,2018-2019,1st Sem,,,IRREGULAR
17-0037,2018-2019,1st Sem,,,IRREGULAR
17-0038,2018-2019,1st Sem,,,IRREGULAR
17-0041,2018-2019,1st Sem,,,IRREGULAR
17-0042,2018-2019,1st Sem,,,IRREGULAR
17-0044,2018-2019,1st Sem,,,IRREGULAR
17-0049,2018-2019,1st Sem,,,IRREGULAR
17-0054,2018-2019,1st Sem,,,IRREGULAR
17-0055,2018-2019,1st Sem,,,IRREGULAR
17-0057,2018-2019,1st Sem,,,IRREGULAR
17-0058,2018-2019,1st Sem,,,IRREGULAR
17-0060,2018-2019,1st Sem,,,REGULAR
17-0066,2018-2019,1st Sem,,,IRREGULAR
17-0067,2018-2019,1st Sem,,,IRREGULAR
17-0069,2018-2019,1st Sem,,,IRREGULAR
17-0071,2018-2019,1st Sem,,,IRREGULAR
17-0073,2018-2019,1st Sem,,,IRREGULAR
17-0075,2018-2019,1st Sem,,,IRREGULAR
17-0076,2018-2019,1st Sem,,,IRREGULAR
17-0078,2018-2019,1st Sem,,,IRREGULAR
17-0079,2018-2019,1st Sem,,,IRREGULAR
17-0080,2018-2019,1st Sem,,,IRREGULAR
17-0081,2018-2019,1st Sem,,,IRREGULAR
17-0082,2018-2019,1st Sem,,,IRREGULAR
17-0083,2018-2019,1st Sem,,,REGULAR
17-0084,2018-2019,1st Sem,,,IRREGULAR
17-0085,2018-2019,1st Sem,,,IRREGULAR
17-0086,2018-2019,1st Sem,,,IRREGULAR
17-0087,2018-2019,1st Sem,,,IRREGULAR
