student_number,school_year,sem,year_level,section,status
17-0020,2018-2019,1st Sem,I,,REGULAR
17-0024,2018-2019,1st Sem,I,,REGULAR
17-0034,2018-2019,1st Sem,I,,REGULAR
15-0419,2018-2019,1st Sem,II,,IRREGULAR
16-0007,2018-2019,1st Sem,II,,REGULAR
16-0013,2018-2019,1st Sem,II,,REGULAR
16-0014,2018-2019,1st Sem,II,,REGULAR
16-0018,2018-2019,1st Sem,II,,REGULAR
16-0019,2018-2019,1st Sem,II,,REGULAR
16-0027,2018-2019,1st Sem,II,,REGULAR
16-0029,2018-2019,1st Sem,II,,REGULAR
16-0032,2018-2019,1st Sem,II,,REGULAR
17-0039,2018-2019,1st Sem,II,,IRREGULAR
14-0275,2018-2019,1st Sem,III ,,IRREGULAR
15-0238,2018-2019,1st Sem,III,,REGULAR
15-0240,2018-2019,1st Sem,III,,REGULAR
15-0242,2018-2019,1st Sem,III,,REGULAR
15-0249,2018-2019,1st Sem,III,,REGULAR
15-0253,2018-2019,1st Sem,III,,REGULAR
15-0257,2018-2019,1st Sem,III,,REGULAR
15-0268,2018-2019,1st Sem,III,,REGULAR
15-0272,2018-2019,1st Sem,III,,REGULAR
15-0274,2018-2019,1st Sem,III,,REGULAR
15-0278,2018-2019,1st Sem,III,,REGULAR
15-0288,2018-2019,1st Sem,III,,REGULAR
15-0290,2018-2019,1st Sem,III,,REGULAR
15-0297,2018-2019,1st Sem,III,,REGULAR
15-0298,2018-2019,1st Sem,III,,REGULAR
15-0299,2018-2019,1st Sem,III,,REGULAR
15-0306,2018-2019,1st Sem,III,,REGULAR
15-0323,2018-2019,1st Sem,III,,REGULAR
15-0324,2018-2019,1st Sem,III,,REGULAR
15-0325,2018-2019,1st Sem,III,,REGULAR
15-0326,2018-2019,1st Sem,III,,REGULAR
15-0327,2018-2019,1st Sem,III,,REGULAR
15-0336,2018-2019,1st Sem,III,,REGULAR
15-0340,2018-2019,1st Sem,III,,REGULAR
15-0341,2018-2019,1st Sem,III,,REGULAR
15-0344,2018-2019,1st Sem,III,,REGULAR
15-0348,2018-2019,1st Sem,III,,REGULAR
15-0349,2018-2019,1st Sem,III,,REGULAR
15-0360,2018-2019,1st Sem,III,,REGULAR
15-0361,2018-2019,1st Sem,III,,REGULAR
15-0364,2018-2019,1st Sem,III,,REGULAR
15-0368,2018-2019,1st Sem,III,,REGULAR
15-0391,2018-2019,1st Sem,III,,REGULAR
15-0395,2018-2019,1st Sem,III,,REGULAR
15-0396,2018-2019,1st Sem,III,,REGULAR
15-0407,2018-2019,1st Sem,III,,REGULAR
15-0449,2018-2019,1st Sem,III,,REGULAR
14-0274,2018-2019,1st Sem,IV ,,REGULAR
15-0226,2018-2019,1st Sem,IV,,REGULAR
15-0228,2018-2019,1st Sem,IV,,REGULAR
15-0370,2018-2019,1st Sem,IV,,REGULAR
15-0377,2018-2019,1st Sem,IV,,REGULAR
15-0380,2018-2019,1st Sem,IV,,REGULAR
98-0432,2018-2019,1st Sem,IV,,REGULAR
15-0254,2018-2019,1st Sem,III,BEED-A,REGULAR
15-0259,2018-2019,1st Sem,III,BEED-A,REGULAR
15-0262,2018-2019,1st Sem,III,BEED-A,REGULAR
15-0279,2018-2019,1st Sem,III,BEED-A,REGULAR
15-0305,2018-2019,1st Sem,III,BEED-A,REGULAR
15-0311,2018-2019,1st Sem,III,BEED-A,REGULAR
15-0335,2018-2019,1st Sem,III,BEED-A,REGULAR
15-0345,2018-2019,1st Sem,III,BEED-A,REGULAR
15-0384,2018-2019,1st Sem,III,BEED-A,REGULAR
13-0089,2018-2019,1st Sem,III ,,REGULAR
13-0218,2018-2019,1st Sem,IV ,,REGULAR
14-0004,2018-2019,1st Sem,IV ,,REGULAR
14-0009,2018-2019,1st Sem,IV ,,REGULAR
14-0012,2018-2019,1st Sem,IV ,,REGULAR
14-0020,2018-2019,1st Sem,IV ,,REGULAR
14-0023,2018-2019,1st Sem,IV ,,REGULAR
14-0036,2018-2019,1st Sem,IV ,,REGULAR
14-0043,2018-2019,1st Sem,IV ,,REGULAR
14-0049,2018-2019,1st Sem,IV ,,REGULAR
14-0052,2018-2019,1st Sem,IV ,,REGULAR
14-0055,2018-2019,1st Sem,IV ,,REGULAR
14-0057,2018-2019,1st Sem,IV ,,REGULAR
14-0058,2018-2019,1st Sem,IV ,,IRREGULAR
14-0061,2018-2019,1st Sem,IV ,,REGULAR
14-0062,2018-2019,1st Sem,IV ,,REGULAR
14-0067,2018-2019,1st Sem,IV ,,REGULAR
14-0068,2018-2019,1st Sem,IV ,,REGULAR
14-0069,2018-2019,1st Sem,IV ,,REGULAR
14-0075,2018-2019,1st Sem,IV ,,REGULAR
14-0077,2018-2019,1st Sem,IV ,,REGULAR
14-0078,2018-2019,1st Sem,IV ,,REGULAR
14-0082,2018-2019,1st Sem,IV ,,IRREGULAR
14-0097,2018-2019,1st Sem,IV ,,REGULAR
14-0107,2018-2019,1st Sem,IV,,REGULAR
14-0419,2018-2019,1st Sem,IV,,REGULAR
15-0101,2018-2019,1st Sem,III,,REGULAR
15-0107,2018-2019,1st Sem,III,,REGULAR
15-0110,2018-2019,1st Sem,III,,REGULAR
15-0112,2018-2019,1st Sem,III,,REGULAR
15-0114,2018-2019,1st Sem,III,,REGULAR
15-0115,2018-2019,1st Sem,III,,REGULAR
15-0117,2018-2019,1st Sem,III,,REGULAR
15-0118,2018-2019,1st Sem,III,,REGULAR
15-0120,2018-2019,1st Sem,III,,REGULAR
15-0126,2018-2019,1st Sem,III,,REGULAR
15-0128,2018-2019,1st Sem,III,,REGULAR
15-0130,2018-2019,1st Sem,III,,REGULAR
15-0131,2018-2019,1st Sem,III,,REGULAR
15-0132,2018-2019,1st Sem,III,,REGULAR
15-0134,2018-2019,1st Sem,III,,REGULAR
15-0135,2018-2019,1st Sem,III,,REGULAR
15-0138,2018-2019,1st Sem,III,,REGULAR
15-0142,2018-2019,1st Sem,III,,REGULAR
15-0146,2018-2019,1st Sem,III,,REGULAR
15-0147,2018-2019,1st Sem,III,,REGULAR
15-0155,2018-2019,1st Sem,III,,REGULAR
15-0159,2018-2019,1st Sem,III,,REGULAR
15-0161,2018-2019,1st Sem,III,,REGULAR
15-0162,2018-2019,1st Sem,III,,REGULAR
15-0163,2018-2019,1st Sem,III,,REGULAR
15-0164,2018-2019,1st Sem,III,,REGULAR
15-0166,2018-2019,1st Sem,III,,REGULAR
15-0167,2018-2019,1st Sem,III,,REGULAR
15-0170,2018-2019,1st Sem,III,,REGULAR
15-0171,2018-2019,1st Sem,III,,REGULAR
15-0174,2018-2019,1st Sem,III,,REGULAR
